search URL:,https://patents.google.com/?q=%22population+allele+frequency%22+AND+%28%22Bayesian%22+OR+%22genomic+diagnosis%22%29
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-5656678-B2,Methods and materials for identification of canine pedigree ,"フレッド ハッチンソン キャンサー リサーチ センター, フレッド  ハッチンソン  キャンサー  リサーチ  センター","オストランダー イレーヌ, オストランダー イレーヌ, クルーグリャック レオニード, クルーグリャック レオニード, ジー． パーカー ヘイディ, ジー．  パーカー ヘイディ, ブイ． キム リサ, ブイ．  キム リサ, スティーブンズ マシュー, スティーブンズ マシュー, ビー． マレク ティファニー, ビー．  マレク ティファニー, ビー． サッター ネイサン, ビー．  サッター ネイサン, カールソン スコット, カールソン スコット",2003-12-17,2011-02-15,2015-01-21,2015-01-21,https://patents.google.com/patent/JP5656678B2/en,https://patentimages.storage.googleapis.com/14/46/fc/852f315f2e8f99/0005656678-370.png
US-9708642-B2,Method and system for DNA mixture analysis ,"Cybergenetics, Inc.",Mark W. Perlin,2001-02-02,2014-11-20,2017-07-18,2017-07-18,https://patents.google.com/patent/US9708642B2/en,https://patentimages.storage.googleapis.com/18/cf/27/d2529c36503554/US09708642-20170718-D00000.png
US-10898557-B2,Method of treating with a peptide ,Immatics Biotechnologies Gmbh,"Andrea MAHR, Toni Weinschenk, Oliver Schoor, Jens FRITSCHE, Harpreet Singh",2015-08-28,2020-05-29,2021-01-26,2021-01-26,https://patents.google.com/patent/US10898557B2/en,https://patentimages.storage.googleapis.com/8e/2c/f0/905b01cff5e8ac/US10898557-20210126-D00001.png
US-9552458-B2,Comprehensive analysis pipeline for discovery of human genetic variation ,The Research Institute At Nationwide Children's Hospital,"Peter White, David Lawrence Newsom, Yangqiu Hu",2012-03-16,2013-03-15,2017-01-24,2017-01-24,https://patents.google.com/patent/US9552458B2/en,https://patentimages.storage.googleapis.com/e3/79/3e/9fbf873f585078/US09552458-20170124-D00000.png
JP-5680304-B2,Rapid forensic DNA analysis ,"アイビス バイオサイエンシズ インコーポレイティッド, アイビス  バイオサイエンシズ  インコーポレイティッド","トーマス エー． ホール, トーマス  エー． ホール, スティーブン エー． ホフスタドラー, スティーブン  エー． ホフスタドラー, クリスティン サンネス ロウェリー, クリスティン  サンネス ロウェリー",2007-02-23,2008-02-25,2015-03-04,2015-03-04,https://patents.google.com/patent/JP5680304B2/en,https://patentimages.storage.googleapis.com/c6/9f/51/8623b1c81fefa9/0005680304-20.png
US-2025069702-A1,Population frequency modeling for quantitative variant pathogenicity estimation ,Laboratory Corporation Of America Holdings,"Toby Manders, Keith Nykamp, Alexandre Colavin, Yuya Kobayashi",2022-11-01,2024-11-11,2025-02-27,,https://patents.google.com/patent/US20250069702A1/en,https://patentimages.storage.googleapis.com/f8/d5/32/7dba93c82393a7/US20250069702A1-20250227-D00000.png
KR-20220157976-A,Analysis method of cell-free nucleic acid and its application ,"더 보드 어브 트러스티스 어브 더 리랜드 스탠포드 주니어 유니버시티, 더 보드 어브 트러스티스 어브 더 리랜드 스탠포드  주니어 유니버시티","막시밀리언 딘, 아라쉬 애쉬 알리자데, 제이콥 제이. 차본, 데이비드 엠. 커츠, 모하마드 샤로크 에스파하니",2020-02-24,2021-02-24,2022-11-29,,https://patents.google.com/patent/KR20220157976A/en,https://patentimages.storage.googleapis.com/27/5a/c3/5db808f35ea207/pct00068.png
EP-4110953-A2,"Compositions, methods, and systems for paternity determination ",Laboratory Corporation of America Holdings,"Jonathan Williams, John A. TYNAN, Eric O'neill, Roy Brian LEFKOWITZ",2020-02-28,2021-02-26,2023-01-04,,https://patents.google.com/patent/EP4110953A2/en,
US-11957742-B2,Method for treating non-small lung cancer with a population of activated T cells ,Immatics Biotechnologies Gmbh,"Andrea MAHR, Toni Weinschenk, Oliver Schoor, Jens FRITSCHE, Harpreet Singh",2015-08-28,2023-01-24,2024-04-16,2024-04-16,https://patents.google.com/patent/US11957742B2/en,https://patentimages.storage.googleapis.com/20/51/88/a948cff43a1b2a/US11957742-20240416-D00001.png
JP-2023526252-A,Detection of homologous recombination repair defects ,ガーダント ヘルス， インコーポレイテッド,"ジェニファー イェン，, エレナ ヘルマン，, アリエル ヤブロノビッチ，",2020-05-14,2021-05-14,2023-06-21,,https://patents.google.com/patent/JP2023526252A/en,https://patentimages.storage.googleapis.com/4d/04/6b/28e81ca083451c/2023526252000008.png
CA-3111813-A1,A method to determine if a circulating fetal cell isolated from a pregnant mother is from either the current or a historical pregnancy ,"Illumina, Inc., Andrew Craig, Fiona Kaper, Illumina Cambridge Limited","Andrew Craig, Fiona Kaper",2018-09-07,2019-09-06,2020-03-12,,https://patents.google.com/patent/CA3111813A1/en,
WO-2023018791-A1,Ultra-sensitive liquid biopsy through deep learning empowered whole genome sequencing of plasma ,Cornell University,"Dan LANDAU, Adam WIDMAN, Cole KHAMNEI, Jacob Bass",2021-08-10,2022-08-10,2023-02-16,,https://patents.google.com/patent/WO2023018791A1/en,
NZ-759848-A,Method and apparatuses for screening ,Derrick Corp,"James R Colgrove, Clifford C Smith",2017-06-06,2018-06-06,2021-10-29,,https://patents.google.com/patent/NZ759848A/en,
JP-2011530750-A,Method and system for personalized action plans ,ナビジェニクス  インコーポレイティド,"エム． ムーア，スティーブン, エー． ニーレンバーグ，マイケル, イー． ジョージ，シーン, エー． ゴマー，ローリー",2008-08-08,2009-08-07,2011-12-22,,https://patents.google.com/patent/JP2011530750A/en,https://patentimages.storage.googleapis.com/a8/8f/52/150599d42bdcb2/2011530750-62.png
JP-2025503433-A,Single-molecule genome-wide mutation and fragmentation profiling of cell-free DNA ,ザ・ジョンズ・ホプキンス・ユニバーシティー,"ビクター イー． ヴェルクレスク, ロバート ビー． シャルフ, ダニエル シー． ブルーム",2021-12-15,2022-12-15,2025-02-04,,https://patents.google.com/patent/JP2025503433A/en,https://patentimages.storage.googleapis.com/84/12/77/fb0d1c03874c2f/2025503433000053.png
US-2009094045-A1,Method and system for determining the reliability of forensic interpretation ,Perlin Mark W,Mark W. Perlin,2007-10-09,2007-10-09,2009-04-09,,https://patents.google.com/patent/US20090094045A1/en,https://patentimages.storage.googleapis.com/e3/10/96/681a6de8a8fcd4/US20090094045A1-20090409-D00000.png
US-2022293214-A1,Methods of analyzing genetic variants based on genetic material ,"Fabric Genomics, Inc.",Mark Yandell,2019-09-05,2022-03-02,2022-09-15,,https://patents.google.com/patent/US20220293214A1/en,https://patentimages.storage.googleapis.com/04/8e/ff/93c2741c65a725/US20220293214A1-20220915-D00000.png
WO-2023225175-A1,Systems and methods for cancer therapy monitoring ,"Predicine, Inc.","Pan DU, Shujun Luo, Shidong JIA, Chao DAI",2022-05-19,2023-05-18,2023-11-23,,https://patents.google.com/patent/WO2023225175A1/en,
AU-2023358527-A1,Compositions and methods using reelin in alzheimer's disease ,"Banner Health, Massachusetts Eye And Ear Infirmary, The General Hospital Corporation","Joseph F. ARBOLEDA-VELASQUEZ, Francisco LOPERA, Yakeel Tatiana QUIROZ-GAVIRIA, Eric Reiman",2022-10-13,2023-10-13,2025-04-24,,https://patents.google.com/patent/AU2023358527A1/en,
US-2022005547-A1,Multiplexed droplet-based sequencing using natural genetic barcodes ,The Regents Of The University Of California,"Chun Ye, Meena SUBRAMANIAM, Rachel GATE, Sasha TARG",2018-12-10,2019-12-10,2022-01-06,,https://patents.google.com/patent/US20220005547A1/en,https://patentimages.storage.googleapis.com/ea/a5/f3/16c0d60f40b682/US20220005547A1-20220106-D00000.png
CN-116913378-A,Method and system for detecting homozygous regions of genome based on low-depth sequencing data ,北京交通大学,"徐寒黎, 谢玉婷, 成喜雨, 吕兴, 金怡宸, 马腾跃, 李欣怡",2023-05-05,2023-05-05,2023-10-20,,https://patents.google.com/patent/CN116913378A/en,
NZ-759848-B2,Liquid sample loading ,"Illumina Cambridge Ltd, Illumina Inc","Mohammed Kafeel Ahamed, Michael Steven Becker, James Christopher Blake, Michael Dangelo, Bradley Kent Drews, Daniel L Fuller, Oliver Jon Miller, Mark J Nibbe, Gudrun Stengel",2017-09-28,2018-09-11,2022-02-01,,https://patents.google.com/patent/NZ759848B2/en,
WO-2025085574-A1,Methods for improved predictions of polygenic phenotypes across diverse populations ,Massachusetts Institute Of Technology,"Manolis KELLIS, Yosuke Tanigawa",2023-10-16,2024-10-16,2025-04-24,,https://patents.google.com/patent/WO2025085574A1/en,
US-2025157574-A1,Bypassing sanger confirmation for small variants in genetic disorder clinical testing ,Laboratory Corporation Of America Holdings,"Muqing Yan, Jennifer Elizabeth Reiner, Qiandong Zeng, Stanley Ian Letovsky, Angela Antoinette Kenyon, Natalia Tszine Leach",2023-11-08,2024-11-08,2025-05-15,,https://patents.google.com/patent/US20250157574A1/en,https://patentimages.storage.googleapis.com/3a/bb/d4/f856e0f41cb1e2/US20250157574A1-20250515-D00000.png
WO-2025029645-A1,Methods and systems for identifying an origin of a variant ,"Guardant Health, Inc.","Patrick C. FIAUX, Mingyang CAI, Shile Zhang, Katie Julia QUINN, Chen-Yu Lee",2023-07-28,2024-07-26,2025-02-06,,https://patents.google.com/patent/WO2025029645A1/en,
WO-2024086770-A2,Compositions and methods for assessing neuroinflammation using somatic mutations ,The Children's Medical Center Corporation,"Yue Huang, Zinan ZHOU, Eunjung A. LEE, Christopher A. Walsh",2022-10-21,2023-10-20,2024-04-25,,https://patents.google.com/patent/WO2024086770A2/en,
US-2025201344-A1,Methods and systems for identifying an origin of a variant ,"Guardant Health, Inc.","Patrick C FIAUX, Mingyang Cai, Shile Zhang, Katie Julia QUINN, Che-Yu Lee",,2024-07-26,2025-06-19,,https://patents.google.com/patent/US20250201344A1/en,https://patentimages.storage.googleapis.com/a9/c7/d9/c1d380824903bb/US20250201344A1-20250619-D00000.png
US-2024271202-A1,Ultra high-fidelity single molecule sequencing ,New York University,Gilad Evrony,2023-01-31,2024-01-31,2024-08-15,,https://patents.google.com/patent/US20240271202A1/en,https://patentimages.storage.googleapis.com/6b/a6/c3/0a92ad3b48a2b1/US20240271202A1-20240815-D00000.png
US-2023215513-A1,Methods and systems for detecting tumor mutational burden ,Sophia Genetics S.A.,"Jonathan BIELER, Yvan Wenger, Christian Pozzorinni, Zhenyu XU",2021-12-31,2022-12-30,2023-07-06,,https://patents.google.com/patent/US20230215513A1/en,https://patentimages.storage.googleapis.com/11/d2/68/0778646c620ca0/US20230215513A1-20230706-D00000.png
